timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval
1724264651,857795,5800,20.86245,2.1972477064220185e-08,2.1125e-06,4.332909218312631e-08,3.0393700787401574e-08,2.9055118110236222e-08,5e-08,6.053925542151768e-08,1724264651,86871474313761.95,5.607321335451541e+20,1e-05,0.04843405,118759280,5800,3992939,745611264,1042
1724266033,857797,6506,20.861966,2.8230769230769232e-08,3.5243055555555556e-06,6.465998118355272e-08,5.2e-08,3e-08,7.3e-08,9.710158632240293e-08,1724266033,86871474313761.95,5.607321335451541e+20,1e-05,0.07170902,118755616,6506,3993751,717053952,1382
1724267437,857799,2892,20.86003,2.978723404255319e-08,1e-05,8.39416488491048e-08,6e-08,5e-08,1e-07,2.1397080770466356e-07,1724267437,86871474313761.95,5.607321335451541e+20,1e-05,0.07207703,118741600,2892,3993372,704643072,1404
1724268758,857800,2037,20.857362,3.013574660633484e-08,2.9761904761904762e-05,1.518469402014586e-07,7.952291871786456e-08,6.039935064935066e-08,2.336191572738658e-07,6.929284465101932e-07,1724268758,86871474313761.95,5.607321335451541e+20,1e-05,0.10421729,118724896,2037,3993759,574087168,1321
1724270312,857803,2762,20.855855,1.9858156028368793e-08,3.09972972972973e-06,5.966462335430887e-08,4.032520325203252e-08,3.673913043478261e-08,6.902777777777777e-08,1.2617622718127064e-07,1724270312,86871474313761.95,5.607321335451541e+20,1e-05,0.05401367,118714512,2762,3993601,537436160,1554
1724270938,857805,3660,20.855132,2.91699604743083e-08,3e-06,6.257996416394997e-08,3.943661971830986e-08,3e-08,8.242058094022149e-08,1.3568745602960259e-07,1724270938,86871474313761.95,5.607321335451541e+20,1e-05,0.06530058,118710800,3660,3993203,559816704,626
1724272387,857808,6314,20.854547,2.7936507936507935e-08,1.1122695035460992e-06,3.3950375696640984e-08,2.8529411764705883e-08,2.7936507936507935e-08,3.971698113207547e-08,3.444456839656916e-08,1724272387,86871474313761.95,5.607321335451541e+20,1e-05,0.03716203,118706384,6314,3993105,734298112,1449
1724273540,857811,5704,20.852371,2.6395759717314486e-08,2.198198198198198e-06,3.798586279453264e-08,2.8571428571428572e-08,2.7936507936507935e-08,5e-08,6.313354645510574e-08,1724273540,86871474313761.95,5.607321335451541e+20,1e-05,0.04163519,118692128,5704,3993095,538451968,1153
1724274233,857813,7365,20.852094,2.8333333333333332e-08,9.615384615384615e-07,2.9571304016750148e-08,2.874015748031496e-08,2.8571428571428572e-08,2.880952380952381e-08,1.5103158783697392e-08,1724274233,86871474313761.95,5.607321335451541e+20,1e-05,0.03160759,118690272,7365,3993225,585785344,693
1724274868,857816,7143,20.851072,2.6111111111111112e-08,1.0031645569620252e-06,3.0613149497571044e-08,2.8503937007874016e-08,2.6111111111111112e-08,2.880952380952381e-08,2.1836934782640197e-08,1724274868,86871474313761.95,5.607321335451541e+20,1e-05,0.03369423,118683520,7143,3993225,654843904,635
1724275527,857818,7847,20.850478,2.738095238095238e-08,4e-07,2.926297039900749e-08,2.8253968253968253e-08,2.761904761904762e-08,2.8571428571428572e-08,8.261919496349894e-09,1724275527,86871474313761.95,5.607321335451541e+20,1e-05,0.0296517,118679728,7847,3993168,684867584,659
1724276185,857820,3041,20.850062,2.9014084507042255e-08,1.5115384615384616e-05,6.223483912445263e-08,3.673913043478261e-08,3e-08,7.484482758620689e-08,2.8993767149037086e-07,1724276185,86871474313761.95,5.607321335451541e+20,1e-05,0.05709117,118676544,3041,3993592,625672192,658
1724277125,857822,4302,20.849009,2.0224719101123595e-08,4.65e-06,4.956226967884226e-08,4e-08,3e-08,6e-08,1.1295668139236627e-07,1724277125,86871474313761.95,5.607321335451541e+20,1e-05,0.05061263,118669792,4302,3993403,687652864,940
1724278001,857823,4577,20.848773,3e-08,5.3097345132743365e-06,6.171773798699803e-08,4.487654320987654e-08,3.6e-08,7.641726446676232e-08,1.2042566240945725e-07,1724278001,86871474313761.95,5.607321335451541e+20,1e-05,0.06745674,118668352,4577,3993587,537018368,876
