timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval,block_median_fee_rate
1725157027,803343,29831,6.307632,1E-8,0.000004069767441860465116279069767,2.603344367106651181795268828E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.989898989898989898989898990E-8,3.496926135088578697523905717E-8,1692129062,52391178981379.36,6.574572075966817E+20,0.00001000,0.16250805,47227056,3261,3992799,754999296,1366,1.412444690265486725663716814E-7
1725157032,803344,29842,6.309784,1E-8,0.000004069767441860465116279069767,2.604399656527648060200132197E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.990825688073394495412844037E-8,3.497313357291768559366135148E-8,1692129164,52391178981379.36,6.574572075966817E+20,0.00001000,0.16263432,47242880,2881,3993452,818020352,102,1.094007406576141847155201436E-7
1725157036,803345,29854,6.312118,1E-8,0.000004069767441860465116279069767,2.605398092788368271738568555E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.990950226244343891402714932E-8,3.497200331508835838110452571E-8,1692130568,52391178981379.36,6.574572075966817E+20,0.00001000,0.16276861,47260800,2592,3997711,536928256,1404,1.751773049645390070921985816E-7
1725157041,803346,29865,6.314264,1E-8,0.000004069767441860465116279069767,2.605762717479079179203188232E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.991150442477876106194690265E-8,3.496690124786949728010186533E-8,1692131074,52391178981379.36,6.574572075966817E+20,0.00001000,0.16284476,47276080,1975,3992655,654311428,506,1.2E-7
1725157046,803347,29875,6.31598,1E-8,0.000004069767441860465116279069767,2.606380130702759254975880088E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.497865435614815010761862530E-8,1692131430,52391178981379.36,6.574572075966817E+20,0.00001000,0.16291077,47289248,1925,3992826,545259520,356,1.196722087739414787446383828E-7
1725157050,803348,29897,6.328367,1E-8,0.000004069767441860465116279069767,2.607101487740567441606528074E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.497032010040151735136313512E-8,1692131650,52391178981379.36,6.574572075966817E+20,0.00001000,0.16335672,47338944,2241,3992874,841531392,220,9.929078014184397163120567375E-8
1725157055,803349,29903,6.336928,1E-8,0.000004069767441860465116279069767,2.607398144975803627770422879E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.496800214993897456822733823E-8,1692132031,52391178981379.36,6.574572075966817E+20,0.00001000,0.16365924,47364448,1911,3993657,1073733632,381,1.104890887228817028243962341E-7
1725157059,803350,29907,6.337501,1E-8,0.000004069767441860465116279069767,2.607793698062114118140934307E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.496981257942995813114363779E-8,1692132690,52391178981379.36,6.574572075966817E+20,0.00001000,0.16368846,47368928,2633,3992864,539369472,659,1.2E-7
1725157064,803351,29915,6.339685,1E-8,0.000004069767441860465116279069767,2.610044923218994917774141406E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.512399766296632715535199616E-8,1692132975,52391178981379.36,6.574572075966817E+20,0.00001000,0.16390607,47381168,1571,3992673,596975616,285,9.89893617021276595744680851E-8
1725157069,803352,29924,6.341736,1E-8,0.000004069767441860465116279069767,2.610442964874829275844951452E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.511969159824419101016205817E-8,1692133154,52391178981379.36,6.574572075966817E+20,0.00001000,0.16398808,47394704,1057,3992990,547356672,179,8.14183951393253718835114184E-8
1725157073,803353,29955,6.348089,1E-8,0.000004069767441860465116279069767,2.612165406470453391358548941E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.510876846060518535794011950E-8,1692134580,52391178981379.36,6.574572075966817E+20,0.00001000,0.16430447,47442240,3080,3992808,536879108,1426,1.371844660194174757281553398E-7
1725157078,803354,29963,6.35011,1E-8,0.000004069767441860465116279069767,2.614127384753609324719727890E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.517517143443396055316257698E-8,1692135599,52391178981379.36,6.574572075966817E+20,0.00001000,0.16447226,47454880,2961,3993392,828219392,1019,1.260351874003189792663476874E-7
1725157083,803355,29977,6.353733,1E-8,0.000004069767441860465116279069767,2.616675717552276226897307190E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.523878778025874616574913575E-8,1692136400,52391178981379.36,6.574572075966817E+20,0.00001000,0.16470477,47475824,3074,3993657,856367104,801,1.2E-7
1725157088,803356,29988,6.355944,1E-8,0.000004069767441860465116279069767,2.617582899704197030075608913E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.523745501051083136082517349E-8,1692136934,52391178981379.36,6.574572075966817E+20,0.00001000,0.16481208,47491120,2567,3993222,536928256,534,1.0E-7
1725157093,803357,30003,6.35967,1E-8,0.000004069767441860465116279069767,2.618374643155135733903751323E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.992063492063492063492063492E-8,3.523229147755386264802553639E-8,1692137117,52391178981379.36,6.574572075966817E+20,0.00001000,0.16500213,47518208,860,3993017,715513856,183,1.196629213483146067415730337E-7
1725157098,803358,27134,5.360203,1E-8,4.0E-7,2.307182301990155493205884462E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,6.374464842468792470104728291E-9,1692137763,52391178981379.36,6.556624088726505E+20,0.00001000,0.11627695,41796688,2581,3992980,536870912,646,1.022916666666666666666666666E-7
1725157103,803359,27140,5.3612,1E-8,4.0E-7,2.307911752189382476020522822E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,6.417483663382042260393417567E-9,1692137882,52391178981379.36,6.556624088726505E+20,0.00001000,0.11633758,41803952,1586,3997939,547356672,119,6.511627906976744186046511628E-8
1725157107,803360,27149,5.363369,1E-8,4.0E-7,2.309451941777042274990991991E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,6.559336565018905282386070895E-9,1692139732,52391178981379.36,6.556624088726505E+20,0.00001000,0.11645893,41815696,2835,3993341,843997184,1850,1.470540019286403085824493732E-7
1725157112,803361,27159,5.365567,1E-8,4.0E-7,2.310257572915694049922020809E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,6.586986932695162677923052528E-9,1692140089,52391178981379.36,6.556624088726505E+20,0.00001000,0.11655475,41831552,2020,3992951,536928256,357,1.197163120567375886524822695E-7
1725157116,803362,27176,5.36806,1E-8,4.0E-7,2.311015311864220550465287166E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,6.599672127319706144332057714E-9,1692140515,52391178981379.36,6.556624088726505E+20,0.00001000,0.11664302,41852544,1610,3993364,537878528,426,1.196453900709219858156028369E-7
1725157121,803363,27195,5.372479,1E-8,0.000001506147540983606557377049180,2.321293869201344596364328015E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,1.153248702040129020122664715E-8,1692140581,52391178981379.36,6.556624088726505E+20,0.00001000,0.11744726,41878432,1957,3997797,1073733632,66,6.42710326953748006379585327E-8
1725157126,803364,27218,5.377252,1E-8,0.000001506147540983606557377049180,2.323186936332393448855976190E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,1.157967575526410301829627333E-8,1692140873,52391178981379.36,6.556624088726505E+20,0.00001000,0.11767333,41910464,5626,3992802,545259520,292,6.375E-8
1725157130,803365,27227,5.381173,1E-8,0.000001506147540983606557377049180,2.323696174099214779719386111E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,1.160211610693879615166446656E-8,1692140887,52391178981379.36,6.556624088726505E+20,0.00001000,0.11783824,41932064,5175,3992829,582721536,14,6.31617647058823529411764706E-8
1725157135,803366,27236,5.383254,1E-8,0.000001506147540983606557377049180,2.324784585798588159940470978E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.373015873015873015873015873E-8,1.179014593328414233233623226E-8,1692141684,52391178981379.36,6.556624088726505E+20,0.00001000,0.11797567,41945136,3479,3993281,568041472,797,7.974192790888810614065985675E-8
